time,open,high,low,close,Up Marker,Down Marker
2024-10-31T21:00:00Z,19082.5,19082.5,19081.5,19081.5,0,1
2024-10-31T22:00:00Z,19081.5,19112.78,19081.5,19105.35,1,0
2024-10-31T22:15:00Z,19105.35,19111.19,19101.17,19109.52,0,0
2024-10-31T22:30:00Z,19109.52,19131.4,19108.69,19119.71,0,0
2024-10-31T22:45:00Z,19119.71,19123.88,19103.93,19111.86,0,0
2024-10-31T23:00:00Z,19111.86,19116.04,19091.83,19099.34,0,0
2024-10-31T23:15:00Z,19099.34,19111.86,19099.34,19109.36,1,0
2024-10-31T23:30:00Z,19109.36,19111.86,19106.02,19109.36,0,0
2024-10-31T23:45:00Z,19109.36,19111.03,19099.76,19100.17,0,0
2024-11-01T00:00:00Z,19100.17,19101.01,19081.81,19091.5,0,0
2024-11-01T00:15:00Z,19091.5,19098.5,19073,19098.5,0,0
2024-11-01T00:30:00Z,19098.5,19098.5,19089,19096,0,1
2024-11-01T00:45:00Z,19096,19096,19079,19081,0,1
2024-11-01T01:00:00Z,19081,19090,19077.5,19083,0,0
2024-11-01T01:15:00Z,19083,19089,19076.5,19077.5,0,0
2024-11-01T01:30:00Z,19077.5,19078,19064.5,19075.5,0,0
2024-11-01T01:45:00Z,19075.5,19075.5,19064,19071,0,1
2024-11-01T02:00:00Z,19071,19071,19043,19052,0,1
2024-11-01T02:15:00Z,19052,19073.5,19046.5,19072.5,0,0
2024-11-01T02:30:00Z,19072.5,19073,19067,19068,0,0
2024-11-01T02:45:00Z,19068,19077.5,19068,19077,1,0
2024-11-01T03:00:00Z,19077,19082.5,19070,19081.5,0,0
2024-11-01T03:15:00Z,19081.5,19082.5,19074,19077,0,0
2024-11-01T03:30:00Z,19077,19084,19077,19084,1,0
2024-11-01T03:45:00Z,19084,19090.5,19079.5,19084,0,0
2024-11-01T04:00:00Z,19084,19086.5,19080.5,19080.5,0,0
2024-11-01T04:15:00Z,19080.5,19082.5,19075.5,19077,0,0
2024-11-01T04:30:00Z,19077,19080,19072,19076,0,0
2024-11-01T04:45:00Z,19076,19076,19068,19072.5,0,1
2024-11-01T05:00:00Z,19072.5,19075.5,19067,19069.5,0,0
2024-11-01T05:15:00Z,19069.5,19077,19068,19075,0,0
2024-11-01T05:30:00Z,19075,19075,19064.5,19065.5,0,1
2024-11-01T05:45:00Z,19065.5,19072,19061.5,19068,0,0
2024-11-01T06:00:00Z,19068,19075,19064,19069.5,0,0
2024-11-01T06:15:00Z,19069.5,19069.5,19055.5,19057.5,0,1
2024-11-01T06:30:00Z,19057.5,19067.5,19055.5,19066.5,0,0
2024-11-01T06:45:00Z,19066.5,19071,19054,19059,0,0
2024-11-01T07:00:00Z,19059,19089.5,19057,19068.5,0,0
2024-11-01T07:15:00Z,19068.5,19081,19058.5,19067,0,0
2024-11-01T07:30:00Z,19067,19077,19058.5,19075,0,0
2024-11-01T07:45:00Z,19075,19095,19073.5,19085,0,0
2024-11-01T08:00:00Z,19085,19149,19065,19145,0,0
2024-11-01T08:15:00Z,19145,19152,19122,19140.5,0,0
2024-11-01T08:30:00Z,19140.5,19154,19127,19145,0,0
2024-11-01T08:45:00Z,19145,19150.5,19124,19135,0,0
2024-11-01T09:00:00Z,19135,19160.5,19133.5,19158.5,0,0
2024-11-01T09:15:00Z,19158.5,19172.5,19144,19164,0,0
2024-11-01T09:30:00Z,19164,19174.5,19153,19159.5,0,0
2024-11-01T09:45:00Z,19159.5,19171,19158,19163,0,0
2024-11-01T10:00:00Z,19163,19178.5,19163,19169.5,1,0
2024-11-01T10:15:00Z,19169.5,19179,19158.5,19164,0,0
2024-11-01T10:30:00Z,19164,19172.5,19146.5,19167,0,0
2024-11-01T10:45:00Z,19167,19192,19160.5,19189,0,0
2024-11-01T11:00:00Z,19189,19194,19178,19181.5,0,0
2024-11-01T11:15:00Z,19181.5,19195.5,19179,19189.5,0,0
2024-11-01T11:30:00Z,19189.5,19212,19187,19197,0,0
2024-11-01T11:45:00Z,19197,19207.5,19186.5,19202,0,0
2024-11-01T12:00:00Z,19202,19208,19185.5,19189,0,0
2024-11-01T12:15:00Z,19189,19196.5,19180,19184,0,0
2024-11-01T12:30:00Z,19184,19201.5,19170.5,19193.5,0,0
2024-11-01T12:45:00Z,19193.5,19215.5,19179.5,19210,0,0
2024-11-01T13:00:00Z,19210,19225.5,19199.5,19219.5,0,0
2024-11-01T13:15:00Z,19219.5,19230.5,19213.5,19229,0,0
2024-11-01T13:30:00Z,19229,19238.5,19212,19219,0,0
2024-11-01T13:45:00Z,19219,19230,19206.5,19218.5,0,0
2024-11-01T14:00:00Z,19218.5,19237.5,19214,19232,0,0
2024-11-01T14:15:00Z,19232,19243,19228,19243,0,0
2024-11-01T14:30:00Z,19243,19255,19232,19237,0,0
2024-11-01T14:45:00Z,19237,19262,19225,19260,0,0
2024-11-01T15:00:00Z,19260,19280.5,19257,19279,0,0
2024-11-01T15:15:00Z,19279,19295,19274.5,19295,0,0
2024-11-01T15:30:00Z,19295,19298,19280.5,19286,0,0
2024-11-01T15:45:00Z,19286,19291,19272,19279.5,0,0
2024-11-01T16:00:00Z,19279.5,19297,19277,19277.5,0,0
2024-11-01T16:15:00Z,19277.5,19281,19252.5,19253,0,0
2024-11-01T16:30:00Z,19253,19262.5,19237.5,19239.5,0,0
2024-11-01T16:45:00Z,19239.5,19246.5,19232.5,19235,0,0
2024-11-01T17:00:00Z,19235,19240.5,19222.5,19236.5,0,0
2024-11-01T17:15:00Z,19236.5,19256,19236,19251.5,0,0
2024-11-01T17:30:00Z,19251.5,19252,19221,19227.5,0,0
2024-11-01T17:45:00Z,19227.5,19239.5,19222.5,19225,0,0
2024-11-01T18:00:00Z,19225,19232.5,19212,19218,0,0
2024-11-01T18:15:00Z,19218,19228,19211,19222.5,0,0
2024-11-01T18:30:00Z,19222.5,19231.5,19217.5,19231.5,0,0
2024-11-01T18:45:00Z,19231.5,19237.5,19224,19234.5,0,0
2024-11-01T19:00:00Z,19234.5,19243,19227.5,19241.5,0,0
2024-11-01T19:15:00Z,19241.5,19242,19223,19225,0,0
2024-11-01T19:30:00Z,19225,19234.5,19219.5,19226.5,0,0
2024-11-01T19:45:00Z,19226.5,19229.5,19211,19226,0,0
